transcript_id,cultivating_change_talk,partnership,softening_sustain_talk,empathy
0,0.14814814814814814,0.7962962962962963,1.0,0.5
1,0.05405405405405406,0.5405405405405406,0.7567567567567568,0.5
2,0.3333333333333333,0.6111111111111112,0.9722222222222222,0.47020821071324737
3,0.0,0.8125,1.0,0.5
4,0.06779661016949153,0.5084745762711864,0.9830508474576272,0.4357175655389405
5,0.12315270935960591,0.4482758620689655,0.9556650246305419,0.5
6,0.018867924528301886,0.5094339622641509,0.8867924528301887,0.4711980372843034
7,0.1,0.4984848484848485,0.9378787878787879,0.5
8,0.13333333333333333,0.4,0.9333333333333333,0.5
11,0.0,0.4,0.8,0.5
12,0.057692307692307696,0.5769230769230769,0.9807692307692307,0.4030224236611945
13,0.14285714285714285,0.5,0.7857142857142857,0.46206821341599735
14,0.30612244897959184,0.20408163265306123,0.9387755102040817,0.47088426528308464
16,0.20833333333333334,0.4166666666666667,0.9583333333333334,0.5
18,0.06086956521739131,0.5826086956521739,0.9478260869565217,0.5
19,0.23529411764705882,0.058823529411764705,0.8235294117647058,0.49252841570505906
20,0.10638297872340426,0.48936170212765956,0.8936170212765957,0.5
21,0.1532258064516129,0.4637096774193548,0.9435483870967742,0.4704949831269601
22,0.015037593984962405,0.5037593984962406,1.0,0.4454771865551409
23,0.0,0.6962025316455697,1.0,0.5
24,0.13636363636363635,0.36363636363636365,0.6818181818181818,0.48645268324198143
25,0.35294117647058826,0.3235294117647059,1.0,0.4690470894223408
26,0.0,0.8461538461538461,1.0,0.5378859022106879
28,0.11382113821138211,0.2764227642276423,0.7967479674796748,0.5
29,0.13157894736842105,0.5789473684210527,1.0,0.4967985721468403
30,0.0,0.3448275862068966,0.6551724137931034,0.44705765797146435
31,0.14545454545454545,0.5454545454545454,0.9454545454545454,0.5
33,0.0,0.5384615384615384,0.9230769230769231,0.46734715246348674
34,0.17094017094017094,0.3504273504273504,0.9230769230769231,0.46241608400566453
35,0.34285714285714286,0.3142857142857143,1.0,0.5
36,0.02857142857142857,0.5904761904761905,0.9873015873015873,0.44647110764567977
37,0.1951219512195122,0.4146341463414634,1.0,0.5
38,0.06315789473684211,0.49473684210526314,0.9263157894736842,0.4937795017894946
39,0.1506849315068493,0.3698630136986301,0.9452054794520548,0.5008226296264833
40,0.25,0.3,1.0,0.5
41,0.32941176470588235,0.25882352941176473,1.0,0.4730805894323423
42,0.13333333333333333,0.4666666666666667,1.0,0.5107460378772682
43,0.16,0.52,1.0,0.49709610415001715
45,0.057692307692307696,0.5769230769230769,1.0,0.4530534173081366
46,0.2,0.38333333333333336,0.9166666666666666,0.4161661663661814
47,0.0,0.8,1.0,0.5075937723533975
48,0.14285714285714285,0.39285714285714285,1.0,0.43592892443051656
49,0.12087912087912088,0.4725274725274725,0.9725274725274725,0.5
50,0.058823529411764705,0.43137254901960786,0.8823529411764706,0.46236361247286484
51,0.0625,0.5625,0.9375,0.41101411670873256
52,0.10344827586206896,0.4482758620689655,0.896551724137931,0.5001985211589042
54,0.21951219512195122,0.4146341463414634,1.0,0.5
